txn_id,vehicle_id,plaza_id,txn_date,txn_time,amount,status,vehicle_type,bank_name,balance_before,balance_after
TXN000001,VEH9719,PLZ006,2024-02-27,05:14:00,120,SUCCESS,Bus,HDFC,918,798
TXN000002,VEH9033,PLZ002,2024-06-18,21:19:44,150,SUCCESS,Truck,Axis,997,847
TXN000003,VEH5681,PLZ005,2024-03-21,08:00:11,60,SUCCESS,Car,Kotak,491,431
TXN000004,VEH2059,PLZ005,2024-01-21,09:03:54,150,SUCCESS,Truck,Kotak,416,266
TXN000005,VEH4424,PLZ001,2024-05-23,10:41:05,180,REVERSED,Truck,ICICI,907,907
TXN000006,VEH3429,PLZ001,2024-03-07,03:19:53,60,SUCCESS,Car,Kotak,538,478
TXN000007,VEH1019,PLZ002,2024-01-24,11:15:21,150,FAILED,Truck,ICICI,578,578
TXN000008,VEH4318,PLZ004,2024-04-03,03:34:05,50,SUCCESS,Car,HDFC,630,580
TXN000009,VEH5840,PLZ002,2024-01-07,11:02:48,150,SUCCESS,Truck,SBI,645,495
TXN000010,VEH2361,PLZ001,2024-05-13,10:23:13,150,SUCCESS,Truck,Axis,392,242
TXN000011,VEH4366,PLZ003,2024-06-23,20:10:34,50,SUCCESS,Car,ICICI,721,671
TXN000012,VEH2502,PLZ001,2024-04-29,21:42:33,60,REVERSED,Car,HDFC,480,480
TXN000013,VEH9372,PLZ001,2024-03-03,03:55:47,120,FAILED,Bus,Axis,287,287
TXN000014,VEH6187,PLZ005,2024-04-04,06:58:07,200,SUCCESS,Truck,SBI,468,268
TXN000015,VEH2725,PLZ001,2024-02-04,12:17:34,70,SUCCESS,Car,Axis,381,311
TXN000016,VEH1638,PLZ006,2024-01-30,22:25:23,60,SUCCESS,Car,SBI,494,434
TXN000017,VEH7627,PLZ002,2024-03-24,21:15:59,120,SUCCESS,Bus,SBI,899,779
TXN000018,VEH1911,PLZ005,2024-02-06,02:36:38,200,SUCCESS,Truck,ICICI,641,441
TXN000019,VEH4816,PLZ005,2024-04-13,10:20:17,180,SUCCESS,Truck,Axis,846,666
TXN000020,VEH4676,PLZ005,2024-02-12,08:54:07,70,SUCCESS,Car,SBI,919,849
TXN000021,VEH9652,PLZ004,2024-06-16,10:49:47,100,SUCCESS,Bus,Kotak,590,490
TXN000022,VEH2093,PLZ004,2024-05-29,22:27:28,140,FAILED,Bus,HDFC,788,788
TXN000023,VEH3400,PLZ006,2024-06-01,03:36:31,120,SUCCESS,Bus,ICICI,788,668
TXN000024,VEH4270,PLZ004,2024-04-11,14:15:45,120,SUCCESS,Bus,ICICI,231,111
TXN000025,VEH8917,PLZ003,2024-01-28,21:59:20,120,SUCCESS,Bus,Axis,483,363
TXN000026,VEH8077,PLZ002,2024-01-15,10:42:19,200,SUCCESS,Truck,Kotak,479,279
TXN000027,VEH1360,PLZ006,2024-05-05,09:29:53,140,SUCCESS,Bus,SBI,996,856
TXN000028,VEH7353,PLZ001,2024-03-25,09:27:48,70,SUCCESS,Car,Axis,358,288
TXN000029,VEH7249,PLZ005,2024-04-08,10:14:49,50,SUCCESS,Car,HDFC,321,271
TXN000030,VEH3859,PLZ001,2024-05-15,19:02:29,180,SUCCESS,Truck,HDFC,734,554
TXN000031,VEH7723,PLZ002,2024-03-01,14:49:57,100,FAILED,Bus,ICICI,278,278
TXN000032,VEH9704,PLZ005,2024-05-02,15:30:14,60,FAILED,Car,HDFC,612,612
TXN000033,VEH9320,PLZ004,2024-03-21,00:55:52,100,SUCCESS,Bus,ICICI,936,836
TXN000034,VEH3542,PLZ004,2024-06-20,22:14:47,150,SUCCESS,Truck,ICICI,957,807
TXN000035,VEH2973,PLZ001,2024-01-13,22:13:06,200,SUCCESS,Truck,HDFC,643,443
TXN000036,VEH8497,PLZ003,2024-06-28,12:20:20,60,SUCCESS,Car,Axis,892,832
